Onset_Time,Offset_Time,Duration_Time,Sender,Subject,Class,Marker,Comment
0:00:00,0:00:00,0:00:00,,,,,
0:00:00,0:00:00,0:00:00,,,,,
0:06:01,0:06:04,0:00:03,LKM live,,,00. Patient Arrival,
0:14:39,0:53:46,0:39:08,LKM live - edited post hoc,,,02. Anesthesia Induction,
0:18:25,0:29:54,0:11:30,LKM live - edited post hoc,,,01. Pre-induction,
0:58:14,1:24:15,0:26:01,LKM live - edited post hoc,,,03. Sterile Prepping,
1:28:22,1:28:53,0:00:31,LKM live - edited post hoc,,,04. Pre-incision Time-out,
1:28:53,1:37:22,0:08:29,LKM live - edited post hoc,,,05. Sternotomy,
1:28:53,2:35:03,1:06:10,LKM live - edited post hoc,,,06. Vessel Harvesting,
2:44:42,3:06:39,0:21:57,LKM live - edited post hoc,,,08. Aortic Cannulation,
2:45:17,2:58:15,0:12:59,LKM live - edited post hoc,,,07. Heparinization,
3:06:40,3:07:57,0:01:18,LKM live - edited post hoc,,,09. Initiate CPB,
3:10:36,3:14:38,0:04:03,LKM live - edited post hoc,,,10. Clamp Aorta and Deliver Cardioplegia,
3:18:18,4:11:38,0:53:21,LKM live - edited post hoc,,,11. Anatomoses - Aortotomy,
4:16:41,4:29:14,0:12:33,LKM live - edited post hoc,,,12. Separate from Bypass,
4:30:47,5:02:28,0:31:41,LKM live - edited post hoc,,,13. Sternal Closure,
4:39:17,4:39:38,0:00:21,LKM live - edited post hoc,,,14. Post-operative Debrief,
5:33:57,5:34:00,0:00:03,LKM live,,,15. Patient Departure,
