Onset_Time,Offset_Time,Duration_Time,Sender,Subject,Class,Marker,Comment
0:00:00,0:00:00,0:00:00,,,,,
0:00:00,0:00:00,0:00:00,,,,,
0:00:20,0:00:23,0:00:03,Other live,,,00. Patient Arrival,
0:06:55,0:29:26,0:22:31,Other live - edited post hoc,,,01. Pre-induction,
0:13:23,0:43:34,0:30:12,Other live - edited post hoc,,,02. Anesthesia Induction,
0:54:13,1:22:41,0:28:28,Other live - edited post hoc,,,03. Sterile Prepping,
1:24:55,1:25:29,0:00:34,Other live - edited post hoc,,,04. Pre-incision Time-out,
1:25:49,1:32:22,0:06:33,Other live - edited post hoc,,,05. Sternotomy,
1:26:32,2:33:39,1:07:07,Other live - edited post hoc,,,06. Vessel Harvesting,
2:46:47,3:14:42,0:27:55,LKM post hoc,,,08. Aortic Cannulation,
2:47:39,3:15:26,0:27:46,LKM post hoc,,,07. Heparinization,
3:15:21,3:16:51,0:01:30,Other live - edited post hoc,,,09. Initiate CPB,
3:22:52,3:26:35,0:03:43,Other live - edited post hoc,,,10. Clamp Aorta and Deliver Cardioplegia,
3:27:18,5:48:14,2:20:56,Other live - edited post hoc,,,11. Anatomoses - Aortotomy,
5:57:51,6:33:00,0:35:09,Other live - edited post hoc,,,12. Separate from Bypass,
6:47:00,7:27:30,0:40:30,Other live - edited post hoc,,,13. Sternal Closure,
7:47:46,7:47:49,0:00:03,Other live,None,Medical,15. Patient Departure,
