Onset_Time,Offset_Time,Duration_Time,Sender,Subject,Class,Marker,Comment
0:00:00,0:00:00,0:00:00,,,,,
0:00:00,0:00:00,0:00:00,,,,,
0:30:27,0:51:17,0:20:50,AP live,,Medical,01. Pre-induction,
0:41:34,0:56:50,0:15:16,AP live,,Medical,02. Anesthesia Induction,
1:24:33,2:02:34,0:38:01,AP live,,Medical,03. Sterile Prepping,
2:01:34,2:02:59,0:01:25,AP live,,,04. Pre-incision Time-out,
2:02:34,2:10:48,0:08:14,AP live,,Medical,05. Sternotomy,
2:05:55,3:10:49,1:04:54,AP live,,Medical,06. Vessel Harvesting,
2:35:34,2:51:34,0:16:00,AP live,,Medical,07. Heparinization,
3:03:07,3:55:39,0:52:32,AP live,,Medical,08. Aortic Cannulation,
3:48:23,3:49:09,0:00:46,AP live,,Medical,09. Initiate CPB,
3:56:10,4:00:04,0:03:54,AP live,,Medical,10. Clamp Aorta and Deliver Cardioplegia,
4:02:41,4:46:24,0:43:43,AP live,,Medical,11. Anatomoses - Aortotomy,
5:13:45,5:27:30,0:13:45,LKM post hoc,,,12. Separate from Bypass,
5:40:49,6:23:07,0:42:18,AP live,,,13. Sternal Closure,
6:24:26,6:24:59,0:00:33,AP live,,Medical,14. Post-operative Debrief,
7:12:26,7:12:29,0:00:03,AP live,,Medical,15. Patient Departure,
