Onset_Date,Onset_Time,Offset_Date,Offset_Time,Duration_Date,Duration_Time,Sender,Subject,Class,Marker,Comment
0,0:00:00,0,0:00:00,0,0:00:00,,,,,
0,0:00:00,0,0:00:00,0,0:00:00,,,,,
,,,,,,,,,12.1. Restart ventilation,
0,4:16:46,0,4:16:49,0,0:00:03,,Surgeon,,"Announce ""ready to restart ventilation""",
0,4:16:53,0,4:17:11,0,0:00:18,,Anesthesiologist,,Perform lung recruitment maneuver,
0,4:17:13,0,4:17:16,0,0:00:03,,Anesthesiologist,,Start ventilator,
,,,,,,,,,12.2. Prepare to start coming off bypass,
0,4:17:39,0,4:17:42,0,0:00:03,,Surgeon,,"Announce ""ready to start coming off bypass""",
0,4:17:40,0,4:17:43,0,0:00:03,,Perfusionist,,Confirm ready to start coming off bypass,
,,,,,,,,,12.3. Reduce CPB pump flow to half,
0,4:17:50,0,4:17:53,0,0:00:03,,Perfusionist,,Clamp half the venous line,
0,4:17:52,0,4:17:58,0,0:00:06,,Perfusionist,,Set CPB pump flow,
0,4:17:53,0,4:18:11,0,0:00:18,,Anesthesiologist,,Assess biventricular and valvular function,
0,4:17:59,0,4:18:02,0,0:00:03,,Perfusionist,,"Announce ""half flow achieved""",
,,,,,,,,,12.5. Consider reducing CPB pump flow to 1 L/min,
0,4:18:53,0,4:18:56,0,0:00:03,,Anesthesiologist,,Obtain mean arterial pressure (MAP),
0,4:19:02,0,4:19:05,0,0:00:03,,Surgeon,,"Announce ""come down to 1 L/min flow""",go down to 1 L and then off
0,4:19:06,0,4:19:09,0,0:00:03,,Perfusionist,,Clamp most of the venous line,
0,4:19:08,0,4:19:18,0,0:00:10,,Perfusionist,,Set CPB pump flow,HMC) no announcement about 'at 1 L/min flow'
,,,,,,,,,12.6. Consider terminating bypass,
0,4:19:22,0,4:19:25,0,0:00:03,,Perfusionist,,"Announce ""off bypass""",
